ID,CEts_tree,ts_tree,CEts_grass,ts_grass,CEts_cropland,ts_cropland,ts_build,r
1.0,-1.7967119216918945,24.750155448913574,-0.5088491439819336,26.038018226623535,-0.9844045639038086,25.56246280670166,26.54686737060547,0.6353725809363652
2.0,-2.2776756286621094,24.989519119262695,0.06993293762207031,27.337127685546875,-1.4504375457763672,25.816757202148438,27.267194747924805,0.6237088924498474
4.0,-2.159496307373047,24.56490707397461,-0.31603336334228516,26.40837001800537,-1.0883665084838867,25.63603687286377,26.724403381347656,0.6240085700040593
5.0,-4.223838806152344,26.769733428955078,-1.638209342956543,29.35536289215088,-3.4385204315185547,27.555051803588867,30.993572235107422,0.6945820668745291
6.0,-2.1280908584594727,21.73829746246338,-0.248504638671875,23.617883682250977,-0.38100337982177734,23.485384941101074,23.86638832092285,0.5461320394278762
7.0,-4.099336624145508,28.173322677612305,-0.14119911193847656,32.131460189819336,-1.5229177474975586,30.749741554260254,32.27265930175781,0.6418688579722536
8.0,-5.188570976257324,28.094685554504395,-1.8456487655639648,31.437607765197754,-2.7382326126098633,30.545023918151855,33.28325653076172,0.829623773792404
9.0,-4.25175666809082,30.5647029876709,-1.093423843383789,33.72303581237793,-2.316234588623047,32.50022506713867,34.81645965576172,0.7403060641030376
10.0,-3.546741485595703,19.455760955810547,0.4831361770629883,23.48563861846924,-0.38339710235595703,22.619105339050293,23.00250244140625,0.6278872566586242
12.0,-7.516071319580078,35.43008804321289,-3.5446624755859375,39.40149688720703,-5.080909729003906,37.86524963378906,42.94615936279297,0.7369837900792588
15.0,-4.719564437866211,30.12200355529785,-2.624483108520508,32.217084884643555,-3.320376396179199,31.521191596984863,34.84156799316406,0.7311810419893142
16.0,-4.8906660079956055,31.694859504699707,-2.229429244995117,34.356096267700195,-3.3526172637939453,33.23290824890137,36.58552551269531,0.8105009405421618
17.0,-3.503835678100586,33.96346092224121,-1.0320720672607422,36.435224533081055,-2.1626510620117188,35.30464553833008,37.4672966003418,0.6708012304096748
18.0,-1.846975326538086,23.215892791748047,-0.13565349578857422,24.92721462249756,-0.8163566589355469,24.246511459350586,25.062868118286133,0.47500643157121253
19.0,-1.6171808242797852,24.510519981384277,-0.025432586669921875,26.10226821899414,-0.015466690063476562,26.112234115600586,26.127700805664062,0.5635569167898948
20.0,-0.65716552734375,18.86264419555664,1.447744369506836,20.967554092407227,0.7618961334228516,20.281705856323242,19.51980972290039,0.6731336319462791
21.0,-1.8882055282592773,23.143946647644043,-0.28056812286376953,24.75158405303955,-1.0087356567382812,24.02341651916504,25.03215217590332,0.5825512621311997
22.0,-1.7457027435302734,25.13888168334961,0.4929075241088867,27.37749195098877,-0.673457145690918,26.211127281188965,26.884584426879883,0.48691882629216393
23.0,-0.9377317428588867,24.630934715270996,-0.5219173431396484,25.046749114990234,-0.3694925308227539,25.19917392730713,25.568666458129883,0.44758247849139154
24.0,-2.2769203186035156,22.45079803466797,-1.335855484008789,23.391862869262695,-0.8902912139892578,23.837427139282227,24.727718353271484,0.5751525300043395
25.0,-0.2960186004638672,24.554813385009766,-1.037205696105957,23.813626289367676,0.1016225814819336,24.952454566955566,24.850831985473633,0.6228671625014511
26.0,-1.8395605087280273,21.65964412689209,-0.044753074645996094,23.45445156097412,0.12389564514160156,23.62310028076172,23.499204635620117,0.46137230654815875
27.0,-2.1283788681030273,20.243151664733887,-0.6695823669433594,21.701948165893555,-0.5478305816650391,21.823699951171875,22.371530532836914,0.5653038305236076
28.0,-1.2146964073181152,13.480847835540771,0.8514485359191895,15.546992778778076,0.1199045181274414,14.815448760986328,14.695544242858887,0.6007430698658222
29.0,-1.1882739067077637,13.346359729766846,-0.16277313232421875,14.37186050415039,0.6593966484069824,15.194030284881592,14.53463363647461,0.5462377421048401
30.0,-2.0087480545043945,12.832717895507812,-0.7148752212524414,14.126590728759766,-1.1659879684448242,13.675477981567383,14.841465950012207,0.5931257278625862
32.0,-1.813952922821045,12.067592144012451,-0.4601154327392578,13.421429634094238,-1.2301301956176758,12.65141487121582,13.881545066833496,0.6961772154142503
33.0,-2.0746822357177734,12.846162796020508,-1.2977643013000488,13.623080730438232,-1.32814359664917,13.592701435089111,14.920845031738281,0.6907516884639333
34.0,-2.29386043548584,24.19236660003662,-0.3690929412841797,26.11713409423828,-0.3450040817260742,26.141222953796387,26.48622703552246,0.5113095125771805
35.0,-2.4417648315429688,25.887348175048828,-0.09876251220703125,28.230350494384766,-0.7878398895263672,27.54127311706543,28.329113006591797,0.5450250082043538
36.0,-1.6098442077636719,25.55026626586914,0.18774127960205078,27.347851753234863,-1.4319696426391602,25.728140830993652,27.160110473632812,0.6225854406781925
37.0,-1.6140327453613281,26.92665672302246,0.14580249786376953,28.68649196624756,-0.0023097991943359375,28.538379669189453,28.54068946838379,0.6587070162014098
38.0,-1.5206069946289062,25.185232162475586,0.25360870361328125,26.959447860717773,-0.5047388076782227,26.20110034942627,26.705839157104492,0.49169082348316384
40.0,-1.9567632675170898,25.706759452819824,0.17888259887695312,27.842405319213867,-0.5343780517578125,27.1291446685791,27.663522720336914,0.5972290397623677
41.0,-1.4143552780151367,25.247681617736816,0.7352113723754883,27.39724826812744,0.28423595428466797,26.94627285003662,26.662036895751953,0.5309549973607643
42.0,-1.7389659881591797,24.98629379272461,-0.035065650939941406,26.690194129943848,-0.46103763580322266,26.264222145080566,26.72525978088379,0.5637855606713607
43.0,-1.242375373840332,23.78334140777588,0.33446407318115234,25.360180854797363,-0.6639404296875,24.36177635192871,25.02571678161621,0.40768769068768584
